"personLabel"
"Arthur Rimbaud"
"Pierre Poivre"
"Roald Amundsen"
"Charles Darwin"
"Ferdinand Magellan"
"John Franklin"
"Sir John Barrow, 1st Baronet"
"Peter Kropotkin"
"Marco Polo"
"Alexander von Humboldt"
"Jacques Cartier"
"Christopher Columbus"
"James Cook"
"Hernán Cortés"
"Yuri Gagarin"
"Vasco da Gama"
"Ibn Battuta"
"Zheng He"
"Tibor Sekelj"
"Henri Nouvel"
"Pierre Bouguer"
"Manuel Dias"
"John Gillies"
"Patrick Browne"
"Johann Baptist von Spix"
"Réal Bouvier"
"John Clayton"
"Vasco Núñez de Balboa"
"Cecil John Rhodes"
"Louis Bernacchi"
"Francis Beaufort"
"David Lindsay"
"Charles Marie de La Condamine"
"Juan de Grijalva"
"Peter Forsskål"
"Eric Haakonsson"
"Pascual de Andagoya"
"Carl Ritter"
"Adam Laxman"
"Haakon Sigurdsson"
"Einar Thambarskelfir"
"Aleksei Chirikov"
"Coenraad de Buys"
"Tryggve Gran"
"Frederick Catherwood"
"Edmund Hillary"
"Francis Drake"
"Shintarō Ishihara"
"Carl Peter Thunberg"
"Johann Ludwig Burckhardt"
"Pánfilo de Narváez"
"Xuanzang"
"Abel Tasman"
"James Cameron"
"Leif Erikson"
"Lev Berg"
"Francisco Pizarro"
"Martin Behaim"
"Johann Grueber"
"Eusebio Kino"
"João Barbosa Rodrigues"
"Woody Crumbo"
"Amerigo Vespucci"
"Ernst Haeckel"
"David Livingstone"
"Afanasy Nikitin"
"Charles de Foucauld"
"Walter Bonatti"
"Pierre Le Moyne d'Iberville"
"Jean-Baptiste Le Moyne, Sieur de Bienville"
"William Baffin"
"John Lloyd Stephens"
"Lavrenty Zagoskin"
"Karl Ernst von Baer"
"Georg Wilhelm Steller"
"Carsten Niebuhr"
"Ludwig Leichhardt"
"Wilhelm Peters"
"Engelbert Kaempfer"
"Johann Karl Ehrenfried Kegel"
"Georg Forster"
"Johann Georg Gmelin"
"Adolf Bastian"
"Otto von Kotzebue"
"Wilhelm Filchner"
"Theodor Koch-Grunberg"
"Hernando de Soto"
"Heinrich Barth"
"Emin Pasha"
"Eduard Rüppell"
"Gustav Nachtigal"
"Friedrich Hermann Otto Finsch"
"Duke Adolf Friedrich of Mecklenburg"
"Hermann Burmeister"
"Johann Friedrich von Eschscholtz"
"Prince Maximilian of Wied-Neuwied"
"Catalina de Erauso"
"Carl R. Eklund"
"Philip Carteret"
"Jean-Baptiste Tavernier"
"Giovanni da Verrazzano"
"Carl Gustaf Emil Mannerheim"
"Svetlana Savitskaya"
"Filipe de Brito e Nicote"
"Jan Czekanowski"
"Louis-Antoine de Bougainville"
"Alexey Leonov"
"Sven Hedin"
"Adelbert von Chamisso"
"Konstantin Badygin"
"Peter Simon Pallas"
"Adolf Erik Nordenskiöld"
"Joseph Dalton Hooker"
"Alfred Russel Wallace"
"Adam Johann von Krusenstern"
"Gustaf John Ramstedt"
"Brian Jones"
"Peter Martyr d'Anghiera"
"Vasily Zavoyko"
"Francis Xavier"
"John Boultbee"
"Otto Schmidt"
"William Hann"
"Giuseppe Sapeto"
"Frank Hann"
"Juan Ortiz de Zárate"
"John C. Frémont"
"Zebulon Pike"
"Prince Aimone, Duke of Aosta"
"Henry Morton Stanley"
"Erik the Red"
"Alexander Nevsky"
"Willem Janszoon"
"Pedro Álvares Cabral"
"John MacGregor"
"Thomas Morton"
"Charles Granville Bruce"
"David Zogg"
"Henry Hudson"
"Giovanni Battista Belzoni"
"Juan Rodríguez Cabrillo"
"James Richardson"
"William Balfour Baikie"
"Alexander Kolchak"
"Juan Ponce de León"
"Bartholomew Columbus"
"Mikhail Lazarev"
"Robert Peary"
"Miguel Díaz"
"Alexandre Rodrigues Ferreira"
"Walter Raleigh"
"Zemarchus"
"Reinhold Messner"
"Pytheas"
"Francis Galton"
"Nikolay Mikhaylovich Przhevalsky"
"Hans Buch"
"Günther Messner"
"Zhang Qian"
"John Hurt"
"Ambrogio Contarini"
"James Clark Ross"
"Ahmad ibn Fadlan"
"Hjalmar Johansen"
"Michel Desjoyeaux"
"Juan Sebastián Elcano"
"Duke Paul Wilhelm of Württemberg"
"Evliya Çelebi"
"Pedro de Valdivia"
"Harald III of Norway"
"Afonso de Albuquerque"
"George Forrest"
"Jules Dumont d'Urville"
"Pedro Sarmiento de Gamboa"
"George Vancouver"
"Thomas Mackenzie"
"Diego de Almagro"
"Francisco de Orellana"
"Brendan the Navigator"
"Nicholas Roerich"
"Ingólfr Arnarson"
"Richard E. Byrd"
"Auguste Piccard"
"Pedro de Alvarado"
"Johann Reinhold Forster"
"Robert FitzRoy"
"Eric Bloodaxe"
"Julius von Haast"
"Hermann Eberhard"
"Otto Ehrenfried Ehlers"
"David Tennant"
"Hansjoachim von der Esch"
"Heinrich von Staden"
"Nikolai Vavilov"
"Charles Rasp"
"Ulrich Jasper Seetzen"
"August Kappler"
"Alfred Tetens"
"Emil Trinkler"
"Adam Brand"
"Ludwig Kohl-Larsen"
"Balduin Möllhausen"
"Wolfgang Jöhling"
"Herbert Schröder-Stranz"
"Karl Friedrich Behrens"
"Albert von Sack"
"Curt von Hagen"
"Robert Falcon Scott"
"Ferdinand Gottlieb von Gmelin"
"Richard Büttner"
"Siegfried Passarge"
"Richard Schomburgk"
"C. E. A. Wichmann"
"Fedor Jagor"
